month,maximum_rainfall_in_a_day,no_of_rainy_days,total_rainfall,mean_rh,mean_sunshine_hrs,temp_mean_daily_min,total_visitor,wet_bulb_temperature
1982-01-01,36.5,10,107.1,81.2,5.6,23.3,239088,23.45604838709677
1982-02-01,9.4,5,27.8,79.5,7.6,23.9,225008,24.297619047619047
1982-03-01,61.7,11,160.8,82.3,5.1,24.3,235113,24.811559139784944
1982-04-01,45.1,14,157.0,85.9,4.7,24.3,225827,25.10375
1982-05-01,33.0,10,102.2,83.2,5.8,25.2,232737,25.689650537634407
1982-06-01,20.6,8,59.5,80.3,7.3,26.0,243955,25.729305555555552
1982-07-01,17.2,8,76.3,77.6,7.6,25.5,277968,25.107258064516127
1982-08-01,57.7,11,169.5,80.4,5.4,25.0,281354,25.02755376344086
1982-09-01,18.0,9,54.1,80.6,5.2,25.3,232006,25.243055555555557
1982-10-01,10.0,10,39.3,81.5,5.6,24.3,251613,24.90067204301075
1982-11-01,39.6,13,134.0,83.4,5.8,24.5,257389,25.068888888888885
1982-12-01,109.0,21,494.1,87.7,3.3,23.9,254632,24.621639784946236
1983-01-01,43.2,18,246.0,85.6,4.3,24.0,232164,24.554973118279573
1983-02-01,5.1,2,5.6,78.0,9.3,24.8,212591,24.97440476190476
1983-03-01,18.3,2,18.6,76.0,8.9,25.4,242272,25.439247311827955
1983-04-01,21.3,4,33.6,77.2,6.6,26.3,226610,26.09347222222222
1983-05-01,32.3,11,160.8,83.2,5.9,25.2,236720,25.95685483870968
1983-06-01,27.7,11,94.0,82.4,5.9,25.3,227843,25.872500000000002
1983-07-01,55.5,18,190.0,83.7,5.4,24.9,249891,25.422043010752688
1983-08-01,181.8,10,262.2,81.2,6.3,25.6,263236,25.54959677419355
1983-09-01,50.3,18,170.8,84.4,3.8,24.6,230076,25.13722222222222
1983-10-01,40.0,17,212.7,82.5,5.2,24.7,240012,25.239247311827956
1983-11-01,54.8,18,228.8,85.2,3.2,24.0,237223,24.687638888888888
1983-12-01,164.4,16,370.6,88.0,2.7,23.3,254939,23.882526881720427
1984-01-01,62.3,18,251.2,85.8,4.1,22.9,233863,23.667876344086025
1984-02-01,154.4,19,470.4,86.0,4.1,23.4,221968,24.00991379310345
1984-03-01,119.4,19,361.3,85.4,5.3,23.8,239414,24.6002688172043
1984-04-01,38.7,17,153.1,83.8,6.2,24.5,245480,25.178472222222222
1984-05-01,46.0,12,186.5,84.1,6.4,24.5,248953,25.15645161290323
1984-06-01,121.1,14,255.0,83.1,5.4,24.7,240184,25.2575
1984-07-01,49.2,12,127.2,83.7,5.7,24.7,261402,24.984274193548387
1984-08-01,22.5,13,102.7,84.1,6.0,24.3,282186,25.241935483870968
1984-09-01,46.5,17,186.7,83.9,4.9,23.7,239438,24.65791666666667
1984-10-01,47.2,11,187.5,82.5,5.3,24.3,257737,25.00712365591398
1984-11-01,35.4,17,127.7,86.3,4.3,24.0,248137,24.650138888888886
1984-12-01,58.4,22,277.4,86.7,3.3,23.6,272668,24.245833333333334
1985-01-01,35.5,7,111.1,81.5,8.7,23.6,248446,24.091129032258063
1985-02-01,18.7,11,79.3,84.0,6.5,24.1,230830,24.892857142857142
1985-03-01,23.8,13,88.0,83.9,5.6,24.2,262117,24.92822580645161
1985-04-01,29.3,14,110.5,83.8,5.5,24.4,237011,25.28291666666667
1985-05-01,36.2,12,70.1,83.4,5.7,25.2,244179,25.736962365591395
1985-06-01,9.9,14,37.0,79.4,5.8,25.1,247225,25.32333333333333
1985-07-01,32.2,17,131.8,83.1,5.3,23.9,264253,24.738575268817204
1985-08-01,21.4,11,56.9,80.4,6.2,25.1,279252,25.07983870967742
1985-09-01,22.0,18,110.7,83.1,5.0,24.0,240007,24.693055555555556
1985-10-01,30.2,21,169.0,84.7,4.1,23.9,249802,24.6747311827957
1985-11-01,38.2,21,179.4,85.0,4.1,23.8,250465,24.571805555555557
1985-12-01,86.8,22,340.1,86.2,4.6,23.7,277383,24.273118279569893
1986-01-01,95.6,13,308.2,83.9,3.9,23.4,262351,23.615591397849464
1986-02-01,23.0,2,26.7,78.4,7.2,23.9,236979,23.99955357142857
1986-03-01,71.1,17,353.4,86.6,4.6,24.1,260497,24.6747311827957
1986-04-01,56.4,14,150.0,85.3,6.2,24.7,245614,25.42013888888889
1986-05-01,51.3,13,145.1,81.8,6.1,25.4,248171,25.686155913978496
1986-06-01,34.5,13,122.9,82.5,6.8,25.3,257252,25.542222222222225
1986-07-01,23.5,12,109.7,79.9,6.2,25.0,275976,25.11209677419355
1986-08-01,28.4,11,72.9,77.3,5.6,25.2,304666,25.126478494623655
1986-09-01,97.6,22,396.0,84.4,4.8,23.6,259582,24.64486111111111
1986-10-01,65.6,20,227.3,85.0,5.0,24.3,275773,24.90537634408602
1986-11-01,40.5,21,256.7,84.1,4.5,24.1,266980,24.504583333333333
1986-12-01,131.7,16,367.2,85.2,5.4,23.9,297217,24.403494623655916
1987-01-01,127.4,16,568.6,86.0,4.0,23.4,284588,23.70255376344086
1987-02-01,34.8,7,86.9,79.0,9.2,23.7,273405,23.781994047619047
1987-03-01,40.9,12,132.5,83.2,6.9,24.8,293774,25.19475806451613
1987-04-01,27.7,10,72.5,82.8,6.2,25.1,287663,25.573194444444447
1987-05-01,81.4,16,270.0,84.6,5.6,25.0,291469,25.55766129032258
1987-06-01,30.7,15,126.6,80.7,6.8,26.0,283828,26.001527777777774
1987-07-01,21.6,11,80.9,81.3,6.7,25.4,342882,25.540188172043013
1987-08-01,48.2,16,191.9,83.6,5.1,25.0,353788,25.20483870967742
1987-09-01,44.5,11,129.9,82.5,5.4,24.6,302983,25.21027777777778
1987-10-01,5.9,9,22.6,82.1,5.8,25.2,315112,25.403897849462364
1987-11-01,77.7,17,347.6,84.0,4.5,24.3,307067,25.099861111111114
1987-12-01,24.3,11,72.8,84.6,4.8,24.2,342250,24.40981182795699
1988-01-01,69.0,15,237.5,84.3,5.9,24.5,328447,24.706989247311828
1988-02-01,46.7,9,158.1,83.2,6.7,24.6,312406,24.87528735632184
1988-03-01,70.1,15,186.8,85.3,5.2,24.8,347373,25.28682795698925
1988-04-01,22.8,13,109.6,84.5,5.4,25.2,331647,25.7025
1988-05-01,76.7,14,229.6,82.7,5.6,25.8,318454,26.008467741935483
1988-06-01,69.4,13,252.2,81.6,6.5,24.9,319362,25.459305555555556
1988-07-01,75.6,15,305.4,84.0,6.0,24.6,377985,25.204435483870967
1988-08-01,19.0,14,80.1,84.9,4.9,24.5,388077,25.002150537634407
1988-09-01,187.3,14,440.4,84.5,4.8,24.5,341254,25.004722222222224
1988-10-01,39.8,17,134.6,83.2,4.1,24.5,365581,25.170295698924733
1988-11-01,111.9,23,401.4,86.8,3.7,23.7,361734,24.58527777777778
1988-12-01,22.0,11,62.9,81.1,5.7,23.9,393771,23.718413978494624
1989-01-01,53.0,10,189.7,84.1,5.8,23.9,380096,24.39704301075269
1989-02-01,48.4,3,52.4,78.3,6.7,23.7,353789,23.703869047619047
1989-03-01,63.5,21,305.9,87.6,4.5,23.9,404795,24.72204301075269
1989-04-01,39.0,17,198.6,86.4,5.7,24.0,375679,25.190555555555555
1989-05-01,38.2,12,194.0,86.6,5.2,24.5,362982,25.4755376344086
1989-06-01,45.9,12,117.6,83.3,6.0,24.4,367275,25.19611111111111
1989-07-01,33.3,12,157.6,82.6,6.0,24.9,435972,25.386559139784943
1989-08-01,81.4,18,201.0,83.7,5.3,23.9,443375,24.966397849462364
1989-09-01,102.2,14,247.3,84.4,5.5,24.1,406340,24.846249999999998
1989-10-01,24.9,16,111.0,83.7,5.5,24.2,423336,24.87983870967742
1989-11-01,148.6,20,508.4,86.0,5.4,24.0,425918,24.7975
1989-12-01,44.2,18,179.7,85.5,4.8,23.9,450000,24.37889784946237
1990-01-01,73.9,13,147.4,83.8,5.3,23.7,432993,24.04731182795699
1990-02-01,6.6,8,24.1,80.9,8.9,24.9,424670,24.96175595238095
1990-03-01,48.6,4,94.2,77.6,8.3,25.0,445528,25.07956989247312
1990-04-01,12.0,10,52.4,81.2,6.3,25.3,430272,25.885972222222225
1990-05-01,153.7,11,180.1,81.1,6.5,25.6,409797,25.933064516129033
1990-06-01,76.1,9,112.6,80.7,6.3,25.4,409635,25.693888888888885
1990-07-01,44.5,12,124.0,82.7,5.9,24.6,474861,25.131048387096776
1990-08-01,38.3,13,146.6,82.3,5.8,25.1,492544,25.5747311827957
1990-09-01,44.5,17,204.5,83.2,5.1,24.2,427523,24.9775
1990-10-01,20.2,12,56.4,83.5,5.9,24.9,435281,25.24516129032258
1990-11-01,46.9,17,180.4,83.5,4.6,24.7,448573,24.983611111111113
1990-12-01,33.5,16,201.1,86.0,5.5,24.1,488768,24.47231182795699
1991-01-01,36.2,13,123.9,84.1,5.6,24.2,432267,24.58454301075269
1991-02-01,17.9,7,45.5,81.6,7.0,24.1,363536,24.620386904761908
1991-03-01,48.6,10,92.4,79.9,7.1,24.7,403287,25.046370967741936
1991-04-01,32.2,13,134.2,84.3,5.8,24.7,418722,25.61513888888889
1991-05-01,44.0,23,256.4,86.6,5.1,25.0,411284,25.91021505376344
1991-06-01,55.6,9,88.7,81.0,7.1,25.8,445771,25.97041666666667
1991-07-01,10.7,8,37.3,78.7,6.7,25.7,494626,25.533736559139783
1991-08-01,129.9,8,226.2,79.8,5.3,25.3,519640,25.4
1991-09-01,53.6,12,123.1,83.0,4.1,24.7,459836,25.269305555555558
1991-10-01,20.4,5,52.0,81.4,4.2,24.7,472918,24.985483870967744
1991-11-01,75.2,19,205.0,86.5,3.5,23.6,473327,24.49291666666667
1991-12-01,79.4,19,492.3,90.7,3.0,23.4,519200,24.43938172043011
1992-01-01,56.2,9,83.9,82.4,6.6,23.8,485463,24.29274193548387
1992-02-01,43.2,4,62.4,80.5,7.7,24.3,500155,24.784913793103446
1992-03-01,35.1,6,67.6,80.6,7.4,25.0,478996,25.50577956989247
1992-04-01,94.7,13,160.3,82.4,6.4,25.1,485536,25.965
1992-05-01,13.7,13,63.1,83.3,5.7,25.1,449648,25.8505376344086
1992-06-01,38.4,14,162.8,82.7,5.5,24.9,472933,25.671666666666663
1992-07-01,97.3,19,290.8,83.8,4.7,24.2,548049,25.1630376344086
1992-08-01,31.0,11,76.1,81.1,5.7,24.3,547776,25.18978494623656
1992-09-01,17.5,13,83.6,82.9,5.0,24.5,486642,25.035694444444445
1992-10-01,45.5,20,233.2,82.0,4.5,24.3,488746,24.988306451612903
